"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","2,382.52","2,385.30","2,387.64","2,377.79","1.44B","0.32%"
"2023-11-30","2,374.93","2,361.56","2,374.93","2,352.97","2.44B","0.44%"
"2023-11-29","2,364.50","2,366.40","2,376.84","2,358.31","1.44B","-0.51%"
"2023-11-28","2,376.71","2,385.19","2,386.38","2,368.00","1.38B","-0.21%"
"2023-11-27","2,381.76","2,395.38","2,400.61","2,377.00","1.31B","-0.38%"
"2023-11-24","2,390.94","2,397.33","2,398.60","2,389.44","1.28B","0.54%"
"2023-11-22","2,378.19","2,359.00","2,385.68","2,359.00","1.26B","0.44%"
"2023-11-21","2,367.79","2,372.59","2,373.97","2,355.91","1.45B","-0.20%"
"2023-11-20","2,372.60","2,390.08","2,404.99","2,368.10","1.50B","-0.77%"
"2023-11-17","2,391.05","2,360.70","2,391.05","2,360.11","1.50B","0.95%"
"2023-11-16","2,368.62","2,367.75","2,383.90","2,359.25","1.51B","-0.19%"
"2023-11-15","2,373.22","2,369.03","2,376.53","2,362.94","1.94B","1.19%"
"2023-11-14","2,345.29","2,351.25","2,354.53","2,344.40","1.52B","0.37%"
"2023-11-13","2,336.62","2,350.44","2,351.83","2,330.69","1.56B","0.00%"
"2023-11-10","2,336.72","2,321.58","2,338.07","2,313.28","1.72B","0.07%"
"2023-11-09","2,335.12","2,312.00","2,340.27","2,300.60","1.77B","1.26%"
"2023-11-08","2,305.95","2,340.13","2,340.53","2,296.13","2.30B","-1.16%"
"2023-11-07","2,332.91","2,354.98","2,358.44","2,331.28","1.68B","-1.17%"
"2023-11-06","2,360.46","2,351.95","2,368.66","2,346.89","2.12B","1.64%"
"2023-11-02","2,322.39","2,332.51","2,338.47","2,314.98","1.90B","0.51%"
"2023-11-01","2,310.68","2,285.84","2,312.68","2,284.32","2.02B","2.53%"
"2023-10-31","2,253.72","2,241.72","2,260.65","2,231.61","2.06B","1.01%"
"2023-10-30","2,231.24","2,233.02","2,239.73","2,222.34","3.02B","-1.04%"
"2023-10-27","2,254.65","2,233.73","2,256.47","2,229.96","1.43B","1.37%"
"2023-10-26","2,224.25","2,237.03","2,244.99","2,217.50","1.38B","-1.34%"
"2023-10-25","2,254.40","2,256.74","2,269.14","2,250.67","1.30B","0.61%"
"2023-10-24","2,240.73","2,245.83","2,247.47","2,196.95","1.57B","0.09%"
"2023-10-23","2,238.81","2,246.06","2,253.32","2,238.81","1.24B","-0.75%"
"2023-10-20","2,255.65","2,248.34","2,267.61","2,242.80","1.32B","-0.38%"
"2023-10-19","2,264.16","2,266.24","2,278.05","2,257.96","1.28B","-1.36%"
"2023-10-18","2,295.34","2,295.65","2,298.48","2,279.33","1.32B","0.14%"
"2023-10-17","2,292.08","2,298.09","2,310.05","2,281.85","1.24B","0.82%"
"2023-10-16","2,273.54","2,288.17","2,292.04","2,266.37","1.40B","-1.53%"
"2023-10-13","2,308.75","2,324.08","2,331.10","2,303.74","1.47B","-1.44%"
"2023-10-12","2,342.49","2,320.34","2,343.23","2,320.00","1.52B","1.50%"
"2023-10-11","2,307.84","2,314.48","2,320.20","2,306.68","1.38B","-0.19%"
"2023-10-10","2,312.19","2,286.38","2,315.91","2,286.26","1.54B","2.12%"
"2023-10-06","2,264.08","2,264.25","2,278.24","2,256.82","1.48B","0.01%"
"2023-10-05","2,263.76","2,234.22","2,265.87","2,225.67","1.70B","2.02%"
"2023-10-04","2,218.89","2,244.41","2,248.49","2,217.06","2.09B","-2.49%"
"2023-10-03","2,275.47","2,305.32","2,305.32","2,271.12","1.69B","-1.68%"
"2023-10-02","2,314.44","2,338.51","2,355.98","2,314.44","1.61B","-0.39%"
"2023-09-29","2,323.39","2,350.91","2,351.63","2,315.83","1.95B","-0.94%"
"2023-09-28","2,345.51","2,357.22","2,365.57","2,332.28","1.72B","-1.43%"
"2023-09-27","2,379.53","2,356.05","2,379.53","2,347.36","1.63B","0.32%"
"2023-09-26","2,371.94","2,387.26","2,387.46","2,369.23","1.37B","-0.57%"
"2023-09-25","2,385.50","2,383.47","2,389.32","2,372.75","1.32B","0.39%"
"2023-09-22","2,376.27","2,360.13","2,387.42","2,355.04","1.67B","-0.30%"
"2023-09-21","2,383.41","2,400.24","2,408.02","2,381.32","1.62B","-0.94%"
"2023-09-20","2,406.00","2,432.24","2,433.36","2,405.06","1.74B","-1.00%"
"2023-09-19","2,430.30","2,419.95","2,431.29","2,414.51","1.77B","0.08%"
"2023-09-15","2,428.38","2,420.17","2,438.02","2,419.60","2.44B","0.95%"
"2023-09-14","2,405.57","2,390.68","2,410.66","2,385.61","1.66B","1.13%"
"2023-09-13","2,378.64","2,379.48","2,386.84","2,372.41","1.53B","-0.05%"
"2023-09-12","2,379.91","2,371.14","2,380.68","2,360.70","1.42B","0.82%"
"2023-09-11","2,360.48","2,369.11","2,374.82","2,354.05","1.34B","0.06%"
"2023-09-08","2,359.02","2,372.11","2,382.05","2,355.23","1.69B","-1.02%"
"2023-09-07","2,383.38","2,386.79","2,397.33","2,381.80","1.52B","-0.38%"
"2023-09-06","2,392.53","2,383.75","2,396.30","2,383.67","1.46B","0.62%"
"2023-09-05","2,377.85","2,375.35","2,379.57","2,361.24","1.40B","0.17%"
"2023-09-04","2,373.73","2,357.13","2,373.73","2,352.83","1.40B","1.02%"
"2023-09-01","2,349.75","2,328.60","2,353.87","2,327.95","1.37B","0.76%"
"2023-08-31","2,332.00","2,314.58","2,336.95","2,314.58","1.72B","0.80%"
"2023-08-30","2,313.38","2,314.31","2,322.78","2,310.09","1.41B","0.43%"
"2023-08-29","2,303.41","2,306.47","2,312.15","2,299.52","1.25B","0.16%"
"2023-08-28","2,299.81","2,284.88","2,301.22","2,283.80","1.15B","1.47%"
"2023-08-25","2,266.40","2,263.69","2,273.76","2,263.06","1.07B","-0.88%"
"2023-08-24","2,286.59","2,279.59","2,289.58","2,277.69","1.17B","0.42%"
"2023-08-23","2,277.05","2,254.77","2,277.61","2,254.77","1.06B","0.50%"
"2023-08-22","2,265.71","2,253.78","2,265.95","2,251.36","1.15B","1.08%"
"2023-08-21","2,241.49","2,241.44","2,253.69","2,234.38","1.16B","0.19%"
"2023-08-18","2,237.29","2,233.42","2,248.00","2,228.55","1.25B","-0.70%"
"2023-08-17","2,253.06","2,252.71","2,254.79","2,227.62","1.44B","-0.34%"
"2023-08-16","2,260.84","2,270.28","2,275.14","2,260.48","1.38B","-1.29%"
"2023-08-15","2,290.31","2,295.16","2,296.97","2,288.94","1.36B","0.41%"
"2023-08-14","2,280.89","2,306.54","2,314.16","2,276.94","1.63B","-0.98%"
"2023-08-10","2,303.51","2,277.94","2,304.79","2,273.45","1.71B","0.92%"
"2023-08-09","2,282.57","2,289.34","2,289.34","2,278.64","1.65B","-0.40%"
"2023-08-08","2,291.73","2,294.15","2,300.27","2,286.29","1.50B","0.34%"
"2023-08-07","2,283.93","2,262.62","2,285.17","2,260.69","1.50B","0.41%"
"2023-08-04","2,274.63","2,260.40","2,278.53","2,257.08","1.64B","0.28%"
"2023-08-03","2,268.35","2,283.57","2,285.65","2,265.06","1.85B","-1.45%"
"2023-08-02","2,301.76","2,316.14","2,328.64","2,296.42","1.90B","-1.52%"
"2023-08-01","2,337.36","2,327.00","2,337.91","2,321.37","1.74B","0.64%"
"2023-07-31","2,322.56","2,316.73","2,330.12","2,311.40","2.06B","1.39%"
"2023-07-28","2,290.61","2,271.99","2,295.11","2,255.05","2.54B","-0.20%"
"2023-07-27","2,295.14","2,277.12","2,297.42","2,274.39","1.39B","0.53%"
