"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2023-12-01","638.6","636.9","642.9","633.6","14.13M","1.22%"
"2023-11-30","630.9","628.0","638.6","624.0","15.25M","0.43%"
"2023-11-29","628.2","633.1","639.8","621.1","14.85M","-1.37%"
"2023-11-28","636.9","638.8","640.3","632.6","9.85M","-0.47%"
"2023-11-27","639.9","647.1","648.6","631.7","17.20M","-1.04%"
"2023-11-24","646.6","654.3","656.2","643.6","13.86M","-0.84%"
"2023-11-22","652.1","655.0","661.6","650.0","13.72M","0.48%"
"2023-11-21","649.0","664.5","666.2","649.0","16.21M","-2.54%"
"2023-11-20","665.9","667.7","673.9","658.9","14.95M","0.59%"
"2023-11-17","662.0","649.0","662.0","646.1","18.73M","1.41%"
"2023-11-16","652.8","656.2","666.0","645.1","18.40M","-1.09%"
"2023-11-15","660.0","671.9","687.6","659.3","27.85M","-0.66%"
"2023-11-14","664.4","664.0","669.1","653.8","15.55M","0.32%"
"2023-11-13","662.3","658.1","666.8","655.9","14.70M","0.91%"
"2023-11-10","656.3","649.0","657.6","643.6","14.47M","0.38%"
"2023-11-09","653.8","643.0","657.3","632.5","20.57M","1.79%"
"2023-11-08","642.3","669.9","675.5","641.1","31.51M","-3.22%"
"2023-11-07","663.7","688.3","694.9","660.6","25.73M","-3.90%"
"2023-11-06","690.6","688.9","698.1","676.1","35.40M","2.31%"
"2023-11-02","675.0","649.6","675.5","644.0","43.58M","4.88%"
"2023-11-01","643.6","649.0","659.0","637.5","34.50M","1.04%"
"2023-10-31","637.0","645.0","645.0","628.3","22.03M","-0.53%"
"2023-10-30","640.4","647.2","652.4","635.3","23.46M","-0.57%"
"2023-10-27","644.1","638.9","646.7","629.0","20.31M","0.88%"
"2023-10-26","638.5","639.0","639.4","621.5","20.86M","1.24%"
"2023-10-25","630.7","634.8","642.9","629.8","20.11M","0.82%"
"2023-10-24","625.6","636.9","638.0","614.0","22.18M","-1.39%"
"2023-10-23","634.4","636.5","644.5","634.0","16.63M","-0.28%"
"2023-10-20","636.2","645.0","656.4","626.0","33.27M","-1.29%"
"2023-10-19","644.5","636.2","646.7","635.0","20.50M","0.26%"
"2023-10-18","642.8","646.0","646.8","631.4","19.07M","0.48%"
"2023-10-17","639.7","637.0","646.0","633.8","17.83M","1.52%"
"2023-10-16","630.1","631.0","643.7","628.1","18.09M","-1.45%"
"2023-10-13","639.4","632.2","644.5","628.2","20.70M","0.31%"
"2023-10-12","637.4","643.1","657.5","633.3","30.84M","0.17%"
"2023-10-11","636.3","623.8","641.6","614.3","40.67M","3.30%"
"2023-10-10","616.0","600.5","616.9","600.1","26.38M","3.36%"
"2023-10-06","596.0","592.9","606.1","589.0","27.22M","0.30%"
"2023-10-05","594.2","597.7","604.0","588.0","32.80M","2.63%"
"2023-10-04","579.0","607.0","610.7","578.0","42.97M","-6.01%"
"2023-10-03","616.0","640.0","640.1","615.7","32.30M","-5.23%"
"2023-10-02","650.0","678.0","683.7","649.5","28.85M","-2.81%"
"2023-09-29","668.8","682.6","687.8","662.6","30.58M","-3.09%"
"2023-09-28","690.1","687.2","697.8","682.2","26.37M","-0.16%"
"2023-09-27","691.2","700.4","701.0","678.0","36.53M","-2.11%"
"2023-09-26","706.1","703.2","711.7","692.6","28.48M","0.01%"
"2023-09-25","706.0","707.0","708.9","690.3","29.87M","0.38%"
"2023-09-22","703.3","721.0","721.1","692.5","43.35M","-2.47%"
"2023-09-21","721.1","682.7","725.0","681.3","56.29M","5.07%"
"2023-09-20","686.3","704.0","706.0","683.2","25.84M","-1.80%"
"2023-09-19","698.9","693.6","699.7","684.2","25.26M","0.34%"
"2023-09-15","696.5","680.1","716.6","679.0","71.59M","3.60%"
"2023-09-14","672.3","659.0","675.8","657.0","48.21M","2.91%"
"2023-09-13","653.3","650.0","657.8","644.0","28.69M","1.65%"
"2023-09-12","642.7","638.0","644.8","635.5","21.04M","1.29%"
"2023-09-11","634.5","633.0","643.8","632.6","21.36M","0.67%"
"2023-09-08","630.3","618.0","637.8","616.2","29.60M","1.66%"
"2023-09-07","620.0","625.0","629.4","615.6","18.58M","-0.96%"
"2023-09-06","626.0","635.0","639.9","624.2","21.30M","-0.93%"
"2023-09-05","631.9","627.0","631.9","624.7","15.33M","0.16%"
"2023-09-04","630.9","637.9","637.9","624.3","25.78M","-1.02%"
"2023-09-01","637.4","636.4","640.9","633.3","25.01M","-0.41%"
"2023-08-31","640.0","640.0","649.2","636.3","30.03M","0.30%"
"2023-08-30","638.1","648.0","648.1","635.4","42.51M","-1.94%"
"2023-08-29","650.7","621.0","658.9","618.3","75.75M","5.31%"
"2023-08-28","617.9","615.0","620.4","612.0","23.58M","1.56%"
"2023-08-25","608.4","603.0","611.2","598.8","23.05M","-0.23%"
"2023-08-24","609.8","608.0","619.4","597.0","39.59M","-0.51%"
"2023-08-23","612.9","607.0","623.8","605.7","34.37M","0.28%"
"2023-08-22","611.2","608.9","613.5","597.3","26.84M","0.69%"
"2023-08-21","607.0","589.9","621.5","588.4","43.98M","4.15%"
"2023-08-18","582.8","597.0","599.9","579.9","27.68M","-3.72%"
"2023-08-17","605.3","610.9","619.7","595.6","34.25M","-0.98%"
"2023-08-16","611.3","590.9","619.8","590.1","46.09M","1.73%"
"2023-08-15","600.9","583.0","607.6","579.7","41.24M","2.39%"
"2023-08-14","586.9","584.6","591.9","579.1","23.78M","1.00%"
"2023-08-10","581.1","570.2","582.7","569.9","16.61M","1.18%"
"2023-08-09","574.3","575.7","578.0","569.5","17.35M","0.58%"
"2023-08-08","571.0","564.1","573.1","561.6","22.76M","1.89%"
"2023-08-07","560.4","565.0","570.9","558.3","20.68M","-1.82%"
"2023-08-04","570.8","569.5","572.1","556.1","26.53M","-0.35%"
"2023-08-03","572.8","570.0","577.0","548.8","39.53M","1.58%"
"2023-08-02","563.9","582.5","583.3","559.0","39.12M","-4.42%"
"2023-08-01","590.0","563.9","590.2","560.8","44.09M","4.42%"
"2023-07-31","565.0","555.0","565.0","552.5","39.84M","3.54%"
"2023-07-28","545.7","546.0","551.5","528.2","40.24M","-1.28%"
"2023-07-27","552.8","533.3","554.9","531.8","36.47M","3.39%"
"2023-07-26","534.7","524.2","536.8","521.9","23.49M","2.08%"
"2023-07-25","523.8","525.8","530.0","519.5","19.03M","-0.23%"
"2023-07-24","525.0","514.1","525.7","514.0","19.37M","2.64%"
"2023-07-21","511.5","508.0","514.5","503.1","18.81M","1.63%"
"2023-07-20","503.3","505.0","510.4","502.4","12.55M","-0.08%"
"2023-07-19","503.7","504.8","508.3","500.7","11.06M","0.36%"
"2023-07-18","501.9","496.4","505.5","494.1","15.53M","0.12%"
"2023-07-14","501.3","513.0","516.7","499.0","22.92M","-2.19%"
"2023-07-13","512.5","507.0","513.8","506.1","13.12M","0.47%"
"2023-07-12","510.1","515.5","516.2","507.3","14.51M","-0.68%"
"2023-07-11","513.6","515.9","519.0","511.2","16.22M","-0.33%"
"2023-07-10","515.3","528.5","528.9","515.0","22.44M","-1.87%"
"2023-07-07","525.1","540.4","540.4","524.0","31.48M","-3.23%"
"2023-07-06","542.6","540.1","559.0","537.8","37.62M","0.39%"
"2023-07-05","540.5","540.0","555.8","537.7","34.53M","0.69%"
"2023-07-04","536.8","538.1","538.5","530.1","20.66M","0.39%"
"2023-07-03","534.7","521.4","537.0","521.4","21.76M","1.44%"
